Repository,Number of Commits,Number of Issues,Number of Tables
101repo,2336,50,4
6-3-5-Brainwriter,256,7,3
ARTIST,423,0,7
AsyncRPG,32,0,15
CarrotCakeCMS,648,0,7
CarrotCakeCMS-MVC,296,0,12
ChatGPT-Admin-Web,686,10,16
Christofel,988,15,11
classes,317,4,2
ClearCanvas,1621,170,10
Colibri,11,8,4
CountryAPI,65,7,1
dbml-renderer,157,9,79
DBML-to-ER,3,0,379
DBMLDocs,55,4,2
dbt-workshop,20,1,3
directus-schema-presets,15,0,14
docs,23702,1177,2
dotnetomaniak,576,16,27
Dumia,21,1,3
ecto_erd,56,4,26
EDMSuite,1285,1,2
engine,292,26,7
examples5.ext.net,319,11,13
extensions-for-asp-net-mvc-discontinued,4,1,7
FinanceAI,2,0,1
FloorPlan,151,5,5
full-service,701,20,6
gafalag-api,147,0,13
griffin-app-opensource,5,15,1
HeuristicLab,8914,353,37
HiveWeb-scratch,49,5,43
how-to-bind-a-lookup-column-to-objects-linq-to-sql-e927,8,0,2
how-to-implement-crud-operations-using-xtragrid-and-linqservermodesource-e4498,17,0,2
Identity-Wallet,5992,169,16
Infantry-Online-Server,520,0,15
MakeClassSchedule,10,0,12
MSBuildExtensionPack,950,20,1
mvcturbine,245,4,2
nft-or-not-be,239,0,7
old-wpf-blog,81,0,1
our-food,46,0,6
ov-class09-fp,323,4,11
phaenonet-client,523,43,18
realworld-kotlin-springboot-jdbc,509,22,8
retired2021-helloapp,353,1,17
rtmis,2583,20,23
Samples,5035,65,6
SC502_2C2023_G5,125,5,13
simplebank,121,6,6
SimpleCQRS,211,13,2
sms-maintenance,273,0,21
spark,838,8,3
subgraph,82,1,10
suomisf,785,16,12
surfspots-guide-dev,174,4,38
synk,937,9,12
Virtualization,3,2,1
visualstudio-docs,50562,69,3
waltz,11000,320,4
whisper-chain-be,264,1,7
xaml-sdk,278,4,1
Zero-K-Infrastructure,9518,372,49
